x;y
0;4.075804558
0.101010101;3.625868592
0.202020202;5.581180339
0.303030303;4.762033528
0.404040404;4.386624015
0.505050505;5.193765673
0.606060606;6.231113272
0.707070707;5.557487568
0.808080808;5.602022029
0.909090909;6.970959939
1.01010101;7.275269601
1.111111111;6.826390158
1.212121212;7.165325331
1.313131313;8.171443877
1.414141414;6.794339901
1.515151515;7.137990771
1.616161616;8.130040627
1.717171717;8.938068
1.818181818;9.76545302
1.919191919;11.23293197
2.02020202;10.91826568
2.121212121;10.20369783
2.222222222;10.64765046
2.323232323;9.967167605
2.424242424;11.25421414
2.525252525;11.28709894
2.626262626;12.20150644
2.727272727;11.35458724
2.828282828;13.004195
2.929292929;14.3206177
3.03030303;12.98214894
3.131313131;13.79565112
3.232323232;14.38711369
3.333333333;13.59877953
3.434343434;14.52712278
3.535353535;14.61865301
3.636363636;15.00676701
3.737373737;14.43911143
3.838383838;15.53966169
3.939393939;16.31618011
4.04040404;17.57235573
4.141414141;17.38351325
4.242424242;18.88045518
4.343434343;16.26295547
4.444444444;18.20565397
4.545454545;17.81970564
4.646464646;20.12919687
4.747474747;17.43412596
4.848484848;17.7057327
4.949494949;18.2490922
5.050505051;17.02761943
5.151515152;18.92879043
5.252525253;18.9984431
5.353535354;20.21099985
5.454545455;20.70539234
5.555555556;22.54283751
5.656565657;21.92012081
5.757575758;20.69582362
5.858585859;20.6773429
5.95959596;22.37070705
6.060606061;20.86158497
6.161616162;24.31630725
6.262626263;23.96731891
6.363636364;22.62173344
6.464646465;21.68080486
6.565656566;25.05084207
6.666666667;23.88546015
6.767676768;25.54084662
6.868686869;23.01163295
6.96969697;24.30971589
7.070707071;25.21736491
7.171717172;25.56213211
7.272727273;25.36811635
7.373737374;26.74406205
7.474747475;25.35662199
7.575757576;26.58489324
7.676767677;27.15059866
7.777777778;27.84777217
7.878787879;28.34797851
7.97979798;26.81475185
8.080808081;26.70831007
8.181818182;29.82313137
8.282828283;29.18079886
8.383838384;28.40302861
8.484848485;31.00569743
8.585858586;29.87325039
8.686868687;31.23990324
8.787878788;30.43115485
8.888888889;32.72741459
8.98989899;32.72503781
9.090909091;31.02376312
9.191919192;32.54732853
9.292929293;32.52416383
9.393939394;33.55044974
9.494949495;31.51992502
9.595959596;33.47393025
9.696969697;34.14933358
9.797979798;31.63519991
9.898989899;32.51371118
10;31.96076782
